Film_title,Release_year,Runtime,Director,Producer,Writer,Editor,Cinematography,Production Design,Composer,Sound,Genre,Cast,Personal_rating,Average_rating,Letterboxd URL
Of the Flesh,1983,112,Marilou Diaz-Abaya,nan,['Ricardo Lee'],['Marc Tarnate'],['Manolo R. Abaya'],['Fiel Zabat'],['Ryan Cayabyab'],"['Rudy Baldovino', 'Tony Gosalvez']",['drama'],"['Charito Solis', 'Phillip Salvador', 'Vic Silayan', 'Cecille Castillo', 'Joel Torre', 'Grace Amilbangsa', 'Pen Medina', 'Joonee Gamboa', 'Rolando Tinio', 'Ella Luansing', 'Vangie Labalan', 'Gil de Leon', 'Rustica Carpio']",nan,3.97,https://letterboxd.com//film/of-the-flesh/
Ang Damgo ni Eleuteria Kirchbaum,2010,89,Remton Siega Zuasola,nan,"['Remton Siega Zuasola', 'Maria Victoria Beltran']",['Phillip Muana'],['Christian Linaban'],['Kaloy Uypuangco'],['Jerrold Tarog'],nan,['drama'],"['Donna Gimeno', 'Gregg Tecson', 'Lucia Juezan', 'Emelda Mabusay', 'Daday Melgar']",nan,3.95,https://letterboxd.com//film/ang-damgo-ni-eleuteria-kirchbaum/
Bayaning 3rd World,2000,93,Mike de Leon,['Mike de Leon'],"['Mike de Leon', 'Clodualdo del Mundo Jr.']",['Armando Jarlego'],['Ding Achacoso'],['Roy Lachica'],['Lorrie Ilustre'],"['Raffy Baladjay', 'Noel Bruan']","['history', 'drama']","['Ricky Davao', 'Joel Torre', 'Cris Villanueva', 'Daria Ramirez', 'Rio Locsin', 'Cherry Pie Picache', 'Joonee Gamboa', 'Lara Fabregas', 'Lui Manansala', 'Ed Rocha', 'Jay Españo', 'Bon Vibar', 'Edru Abraham', 'Keno Agaro', 'Jan Alexis Rutaquio', 'Benjamin Barcellano', 'Jon Achaval', 'Ermie Concepcion']",nan,3.94,https://letterboxd.com//film/bayaning-3rd-world/
Century of Birthing,2011,359,Lav Diaz,nan,['Lav Diaz'],['Lav Diaz'],['Lav Diaz'],['Dante Perez'],['Lav Diaz'],nan,['drama'],"['Angel Aquino', 'Perry Dizon', 'Hazel Orencio', 'Joel Torre', 'Bart Guingona', 'Soliman Cruz', 'Roeder Camanag', 'Angeli Bayani', 'Dante Perez', 'Betty Uy-Regala', 'Modesta']",nan,3.94,https://letterboxd.com//film/century-of-birthing/
Perfumed Nightmare,1977,93,Kidlat Tahimik,['Kidlat Tahimik'],['Kidlat Tahimik'],['Kidlat Tahimik'],"['Hartmut Lerch', 'Kidlat Tahimik']",nan,nan,nan,"['drama', 'comedy']","['Mang Fely', 'Dolores Santamaria', 'Georgette Baudry', 'Katrin Muller', 'Hartmut Lerch', 'Kidlat Tahimik']",nan,3.94,https://letterboxd.com//film/perfumed-nightmare/
Edward,2019,82,Thop Nazareno,nan,"['John Paul Bedia', 'Sarah Pagcaliwagan', 'Thop Nazareno', ""Denise O'Hara""]",['Thop Nazareno'],['Kara Moreno'],['Alvin Francisco'],['Pepe Manikan'],"['Pepe Manikan', 'Immanuel Verona']",['drama'],"['Louise Abuel', 'Dido De La Paz', 'Ella Cruz', 'Elijah Canlas', 'Manuel Chua', 'Sarah Pagcaliwagan', 'Raqs Regalado', 'Star Orjaliza', 'Sarina Sasaki', 'Archie Daguinod', 'Geraldine Villamil', 'Gel Gadon', 'Lehner Mendoza', 'Arrian Labios', 'Ram Tolentino', 'Gilleth Sandico', 'Allan Villafuerte', 'Ronald Del Rosario', 'Marlon Mejes', 'Bong Cabrera', 'Jim Bergado', 'Eljim Jardelesa', 'Adelaida Indemine', 'Tricia Villegas', 'Nonoy Gozon']",nan,3.94,https://letterboxd.com//film/edward-2019/
Four Sisters and a Wedding,2013,126,Cathy Garcia-Molina,nan,"['Vanessa Valdez', 'Jose Javier Reyes']",['Marya Ignacio'],['Noel Teehankee'],['Winston Acuyong'],['Raul Mitra'],['Aurel Claro Bilbao'],"['comedy', 'drama', 'romance', 'family']","['Bea Alonzo', 'Toni Gonzaga', 'Angel Locsin', 'Shaina Magdayao', 'Enchong Dee', 'Sam Milby', 'Janus Del Prado', 'Joy Viado', 'Carmi Martin', 'Boboy Garovillo', 'Angeline Quinto', 'Bernard Palanca', 'Vangie Labalan', 'Brenna Garcia', 'Bea Basa', 'Veyda Inoval', 'Arbey Alegado', 'Coney Reyes', 'Samantha Faytaren', 'Cecil Paz', 'Johnny Barnes', 'Mocha Uson', 'Richard Arellano', 'Alexis Nacion']",nan,3.94,https://letterboxd.com//film/four-sisters-and-a-wedding/
Inagaw Mo ang Lahat sa Akin,1995,103,Carlos Siguion-Reyna,nan,"['Bibeth Orteza', 'Carlos Siguion-Reyna', 'Oscar Miranda']",['Jess Navarro'],['Romeo Vitug'],['Joey Luna'],['Ryan Cayabyab'],['Ramon Reyes'],['drama'],"['Maricel Soriano', 'Snooky Serna', 'Eric Quizon', 'Tirso Cruz III', 'Armida Siguion-Reyna', 'Robert Arevalo']",nan,3.93,https://letterboxd.com//film/inagaw-mo-ang-lahat-sa-akin/
Anak,2000,135,Rory B. Quintos,nan,"['Ricardo Lee', 'Moira Lang']",['Joe Batac'],nan,['Nuel C. Naval'],['Jessie Lasaten'],['Ramon Reyes'],['drama'],"['Vilma Santos', 'Claudine Barretto', 'Joel Torre', 'Baron Geisler', 'Amy Austria', 'Cherry Pie Picache', 'Sheila Mae Alvero', 'Leandro Muñoz', 'Tess Dumpit', 'Cris Michelena', 'Hazel Ann Mendoza', 'Daniel Morial', 'Gino Paul Guzman', 'Jodi Sta. Maria', 'Odette Khan', 'Troy Martino', 'John Lapus', 'Jojo Saguin', 'Archie Adamos', 'Jiro Manio', 'Don Laurel', 'Manny Mendoza', 'Aida Espiritu', 'Girlie Alcantara', 'Jessette Prospero', 'Lui Villaruz', 'Sarji Ruiz']",nan,3.94,https://letterboxd.com//film/anak-2000/
Soltero,1984,123,Pio De Castro III,nan,"['Bienvenido M. Noriega, Jr.']",['Edgardo Jarlego'],['Ding Austria'],['Cesar Jose'],nan,"['Ramon Reyes', 'Sebastian Sayson']",['drama'],"['Jay Ilagan', 'Rio Locsin', 'Chanda Romero', 'Baby Delgado', 'Dick Israel', 'Bing Davao', 'Cris Vertido', 'Alvin Enriquez', 'Irma Potenciano', 'Terrie Legarda', 'Luigi Sison', 'Manuel Conde', 'Robert Campos', 'Carmen Enriquez', 'Mona Lisa']",nan,3.92,https://letterboxd.com//film/soltero/
Shadow Behind the Moon,2015,120,Jun Robles Lana,"['Tonee Acejo', 'Ferdinand Lapuz', 'Lawrence S. Ang']",['Jun Robles Lana'],['Lawrence S. Ang'],['Carlo Mendoza'],"['Tonee Acejo', 'Rajiv Idnani']",['Richard Gonzales'],['Albert Michael Idioma'],['drama'],"['LJ Reyes', 'Adrian Alandy', 'Anthony Falcon']",nan,3.93,https://letterboxd.com//film/shadow-behind-the-moon/
Anita's Last Cha-Cha,2013,112,Sigrid Andrea Bernardo,"['Tonee Acejo', 'Ferdinand Lapuz']",['Sigrid Andrea Bernardo'],"['Lawrence S. Ang', 'Kamille Leccio']",['Alma de la Peña'],['Popo Diaz'],['Diwa de Leon'],nan,['drama'],"['Angel Aquino', 'Therese Malvar', 'Jay Bordon', 'Marcus Madrigal', 'Lui Manansala', 'Solomon de Guzman', 'Lenlen Frial', 'Star Orjaliza', 'Gigi Columna', 'Sarah Pagcaliwagan', 'Rhea Medina', 'Leo Salazar', 'Yano Escueta']",nan,3.93,https://letterboxd.com//film/anitas-last-cha-cha/
Ikaw Pa Lang Ang Minahal,1992,106,Carlos Siguion-Reyna,nan,['Raquel Villavicencio'],['Jess Navarro'],['Romeo Vitug'],['Raymond Bajarias'],['Ryan Cayabyab'],"['Gaudencio Barredo', 'Ramon Reyes']",['drama'],"['Maricel Soriano', 'Richard Gomez', 'Charito Solis', 'Eddie Gutierrez', 'Dawn Zulueta', 'Armida Siguion-Reyna']",nan,3.92,https://letterboxd.com//film/ikaw-pa-lang-ang-minahal/
"Florentina Hubaldo, CTE",2012,367,Lav Diaz,['Lav Diaz'],['Lav Diaz'],['Lav Diaz'],['Lav Diaz'],['Dante Perez'],nan,"['Lav Diaz', 'Willy Fernandez', 'Kristine Kintana']",['drama'],"['Hazel Orencio', 'Kristine Kintana', 'Noel Sto. Domingo', 'Willy Fernandez', 'John Elbert Ferrer', 'Dante Perez', 'Brigido Tapales', 'Ana Arienda', 'Erica Nava', 'Jeffrey Sigua']",nan,3.92,https://letterboxd.com//film/florentina-hubaldo-cte/
Gusto Kita with All My Hypothalamus,2018,105,Dwein Baltazar,['Giancarlo Abrahan'],['Dwein Baltazar'],['Ilsa Malsi'],['Neil Daza'],['Marxie Maolen Fadul'],nan,nan,['romance'],"['Iana Bernardez', 'Nicco Manalo', 'Dylan Ray Talon', 'Soliman Cruz', 'Anthony Falcon', 'Ash Nicanor', 'Nestor Abrogena Jr.', 'Angely Castroverde']",nan,3.91,https://letterboxd.com//film/gusto-kita-with-all-my-hypothalamus/
A Lullaby to the Sorrowful Mystery,2016,485,Lav Diaz,"['Paul Soriano', 'Bianca Balbuena', 'Lav Diaz', 'Fran Borgia', 'Jeremy Chua']",['Lav Diaz'],['Lav Diaz'],['Larry Manda'],['Popo Diaz'],nan,"['Mark Locsin', 'Erwin Romulo']","['drama', 'fantasy', 'history', 'adventure']","['Piolo Pascual', 'John Lloyd Cruz', 'Hazel Orencio', 'Alessandra de Rossi', 'Susan Africa', 'Joel Saracho', 'Sid Lucero', 'Cherie Gil', 'Bernardo Bernardo', 'Angel Aquino', 'Ronnie Lazaro', 'Ely Buendia', 'Bart Guingona', 'Jean Judith Javier', 'Paul Jake Paule', 'Noel Sto. Domingo', 'Karenina Haniel', 'Menggie Cobarrubias', 'Earl Ignacio', 'Sheenly Gener', 'Matt Daclan', 'Kristine Kintana', 'Bradley Liew', 'Ricky Gallardo', 'Moira Lang', 'Bianca Balbuena', 'Sigrid Andrea Bernardo', 'Kuya Manzano']",nan,3.91,https://letterboxd.com//film/a-lullaby-to-the-sorrowful-mystery/
Waiting for Sunset,2018,90,Carlo Enciso Catu,"['Derick Cabrido', 'Omar Sortijas']",['John Carlo Pacala'],['Mark Cyril Bautista'],['Neil Daza'],['Marielle Hizon'],['Richard Gonzales'],['Immanuel Verona'],['drama'],"['Dante Rivero', 'Menggie Cobarrubias', 'Perla Bautista', 'Romnick Sarmenta', 'Che Ramos', 'Ryan Ronquillo', 'Jacqueline Cortez', 'Dunhill Banzon', 'Stanley Abuloc', 'Monique Kyle Vasquez']",nan,3.9,https://letterboxd.com//film/waiting-for-sunset/
History of Ha,2021,276,Lav Diaz,nan,['Lav Diaz'],['Lav Diaz'],['Lav Diaz'],['Lav Diaz'],nan,['Cecil Buban'],['drama'],"['John Lloyd Cruz', 'Mae Paner', 'Teroy Guzman', 'Dolly de Leon', 'Jonathan Francisco', 'Hazel Orencio', 'Earl Ignacio', 'Eliezl Cabuco', 'Cesar Cabuco', 'Ceian Hazel Cabuco', 'Allen Alzola', 'Erwin Romulo', 'Jun Sabayton', 'Jeremy Guiab']",nan,3.89,https://letterboxd.com//film/history-of-ha/
Misteryo sa Tuwa,1984,122,Abbo De La Cruz,['Madeleine Gallaga'],['Abbo De La Cruz'],['Jess Navarro'],['Rody Lacap'],"['Rodell Cruz', 'Don Escudero']",['Jaime Fabregas'],"['Ramon Reyes', 'Luis S. Reyes']","['thriller', 'drama']","['Tony Santos', 'Johnny Delgado', 'Ama Quiambao', 'Ronnie Lazaro', 'Alicia Alonzo', 'Robert Antonio', 'Lito Anzures', 'Mario Taguiwalo', 'Maria Montes', 'Ray Ventura', 'Perry Fajardo', 'Susanna Faller', 'Romeo Igloria', 'Mely Mallari', 'Vangie Labalan', 'Benjamin Delina', 'Wilfredo Saludares', 'Filemon Faller', 'Lorenza Nanong', 'Kenneth Hutalla', 'Mary Jane Salvanera', 'Susano Dealino', 'Peque Gallaga', 'Arbie Antonio']",nan,3.89,https://letterboxd.com//film/misteryo-sa-tuwa/
Heremias: Book One - The Legend of the Lizard Princess,2006,519,Lav Diaz,['Celso De Guzman'],['Lav Diaz'],"['Lav Diaz', 'Lia Martinez']",['Mara Benitez'],['Yeye Calderon'],['Earl Drilon'],"['Earl Drilon', 'Arvie Bartolome', 'Bob Macabenta']","['drama', 'crime']","['Sid Lucero', 'Ronnie Lazaro', 'Perry Dizon', 'Simon Ibarra', 'Mayen Estanero', 'Aero Joy Damaso', 'Winston Maique', 'Yul Servo', 'Bart Guingona', 'Lou Veloso', 'Noel Millares', 'Fonz Deza', 'Joonee Gamboa', 'Lui Manansala', 'Nina Medina', 'Ermie Concepcion', 'Nor Domingo', 'Earl Drilon', 'Yutaka Yamakawa', 'Elryan de Vera', 'Carlo Tan', 'Adong Ramos', 'Santy Tagulao', 'Noli Madredana', 'Danny Bitangcor', 'Eddie Vizmonte']",nan,3.88,https://letterboxd.com//film/heremias-book-one-the-legend-of-the-lizard-princess/
"Three, Two, One",1974,155,Lino Brocka,"['Rogelio B. Pasicolan', 'Roberto M. Reyes', 'Arturo Soquerata']","['Orlando Nadres', ""Mario O'Hara"", 'Angela Barrios', 'Tony Perez']",['Augusto Salvador'],['Romeo Vitug'],nan,['Minda D. Azarcon'],['Rudy Baldovino'],['drama'],"['Jay Ilagan', 'Hilda Koronel', 'Anita Linda', 'Lolita Rodriguez', ""Mario O'Hara"", 'Mary Walter', 'Jojo Abella', 'Perla Bautista', 'Soxy Topacio', 'Bey Vito', 'Claude Wilson', 'Barbara Browne', 'Manny Ojeda', 'Lily Miraflor']",nan,3.87,https://letterboxd.com//film/three-two-one/
Big Night!,2021,105,Jun Robles Lana,"['Ferdinand Lapuz', 'Percival M. Intalan', 'Vitto P. Lazatin', 'Guido R. Zaballero', 'Sienna G. Olaso', 'Isabel A. Santillan']",['Jun Robles Lana'],['Benjamin Gonzales Tolentino'],['Carlo Mendoza'],['Marxie Maolen Fadul'],['Teresa Barrozo'],['Immanuel Verona'],"['drama', 'thriller', 'comedy']","['Christian Bables', 'Eugene Domingo', 'Gina Alajar', 'John Arcilla', 'Janice de Belen', 'Ricky Davao', 'Soliman Cruz', 'Nico Antonio', 'Gina Pareño', 'Awra Briguela', 'VJ Mendoza', 'Sunshine Teodoro', 'Allan Paule', 'Cedrick Juan', 'Martin del Rosario', 'Sue Prado', 'Leo Bruno', 'Dwein Baltazar', 'Sigrid Andrea Bernardo', 'Ivan Andrew Payawal', 'Roy Requejo', 'Ogie Diaz']",nan,3.88,https://letterboxd.com//film/big-night-2021/
The Sweet Taste of Salted Bread and Undies,2018,100,Che Espiritu,"['Tey Clamor', 'Phyllis Grande', 'Neil Arce']",['Che Espiritu'],['Benjo Ferrer'],['Tey Clamor'],['Alvin Francisco'],['Len Calvo'],['Mikko Quizon'],"['comedy', 'drama']","['Bodjie Pascua', 'Miel Espinoza', 'Madeleine Nicolas', 'Anna Luna', 'Felix Roco', 'Soliman Cruz', 'Ian Lomongo', 'Ruby Ruiz', 'JM Salvado', 'Lorenzo Aguila']",nan,3.87,https://letterboxd.com//film/the-sweet-taste-of-salted-bread-and-undies/
"Isa Pa, with Feelings",2019,102,Prime Cruz,"['Kriz Gazmen', 'Marjorie B. Lachica', 'Camille G. Montaño', 'Jojo Oconer']","['Kookai Labayen', 'Jen Chuaunsu', 'Katherine Labayen']",['Benjamin Gonzales Tolentino'],['Tey Clamor'],['Nestor Abrogena Jr.'],['Andrew Florentino'],['Albert Michael Idioma'],"['romance', 'drama', 'comedy']","['Maine Mendoza', 'Carlo Aquino', 'Lotlot De Leon', 'Cris Villanueva', 'Nikki Valdez', 'Vangie Labalan', 'Geleen Eugenio', 'Glenda Garcia', 'Kat Galang', 'Francis Magundayao', 'Arci Muñoz', 'Artemis Phoebe Vizmanos', 'Angeli Bayani', 'Brian Sy', 'Lan Kimura', 'Jon Timmons', 'Karl Kevin Javid', 'Andrew Gan', 'Kiko Matos', 'Angie Castrence', 'VJ Mendoza', 'Joi Villareal', 'Starsky Dulalas', 'Rafa Siguion-Reyna']",nan,3.87,https://letterboxd.com//film/isa-pa-with-feelings/
Endo,2007,96,Jade Castro,"['Michiko Yamamoto', 'Moira Lang', 'Emmanuel Dela Cruz', 'Ned Trespeces']","['Jade Castro', 'Michiko Yamamoto', 'Moira Lang']",['JD Domingo'],['Wowie Hao'],['Jeck Cogama'],['Owel Alvero'],nan,"['drama', 'romance']","['Jason Abalos', 'Ina Feleo', 'C.J. Javarata', 'Ricky Davao', 'Alcris Galura']",nan,3.86,https://letterboxd.com//film/endo/
A Tale of Filipino Violence,2022,409,Lav Diaz,nan,"['Ricardo Lee', 'Lav Diaz']",['Lav Diaz'],['Daniel Uy'],['Lav Diaz'],nan,"['Dale Martin', 'JR Miano']",['drama'],"['John Lloyd Cruz', 'Shaina Magdayao', 'Agot Isidro', 'Hazel Orencio', 'Bart Guingona', 'Earl Ignacio', 'Noel Sto. Domingo', 'Noel Miralles', 'Gio Gahol', 'Charo Santos-Concio', 'Ian Lomongo', 'Nanding Josef', 'Sheenly Gener']",nan,3.86,https://letterboxd.com//film/a-tale-of-filipino-violence/
Sewer,2008,212,Sherad Anthony Sanchez,nan,['Sherad Anthony Sanchez'],['Sherad Anthony Sanchez'],"['John Torres', 'Bagane Fiola', 'Joel Geolamen', 'Mark Limbaga']",nan,['Eric Gancio'],nan,['drama'],"['Brian Monterola', 'Jelieta Mariveles-Ruca', 'Allen Lumanog', 'Lawrence Garrido', 'Elvis Zerna', 'Dianne Zipagan', 'Maricel Rosello', 'Carmela De Guzman']",nan,3.85,https://letterboxd.com//film/sewer/
Die Beautiful,2016,120,Jun Robles Lana,"['Jun Robles Lana', 'Ferdinand Lapuz']","['Jun Robles Lana', 'Rody Vera']",['Benjamin Gonzales Tolentino'],['Carlo Mendoza'],['Angel Diesta'],['Richard Gonzales'],"['Lamberto Casas Jr.', 'Armand De Guzman']","['comedy', 'drama']","['Paolo Ballesteros', 'Christian Bables', 'Joel Torre', 'Gladys Reyes', 'Adrian Alandy', 'Albie Casiño', 'Inah de Belen', 'I.C. Mendoza', 'Cedrick Juan', 'Lou Veloso', 'Mimi Juareza', 'Iza Calzado', 'Eugene Domingo', 'Jade Lopez', 'Kokoy de Santos', 'Juris Ocampo', 'Rica Paras', 'Kyle Gabrielle', 'Khalid Ruiz']",nan,3.84,https://letterboxd.com//film/die-beautiful/
Badil,2013,100,Chito S. Roño,['Han Salazar'],['Rody Vera'],['Carlo Francisco Manatad'],['Neil Daza'],['Jayvee Edward Taduran'],['Carmina Cuya'],['Addiss Tabong'],['drama'],"['Jhong Hilario', 'Mercedes Cabral', 'Yayo Aguila', 'Nikki Gil', 'Dick Israel', 'Vangie Labalan', 'Ronnie Quizon', 'Kych Minemoto']",nan,3.84,https://letterboxd.com//film/badil/
Mamu (and a Mother Too),2018,122,Rod Singh,nan,['Rod Singh'],nan,['Theo Lozada'],nan,['Jordan Peralta'],nan,['comedy'],"['Iyah Mina', 'Arron Villaflor', 'EJ Jallorina', 'Markus Paterson', 'Jovani Manansala']",nan,3.84,https://letterboxd.com//film/mamu-and-a-mother-too/
Jologs,2002,107,Gilbert Perez,nan,['Ned Trespeces'],['Vito Cajili'],['Miguel V. Fabie III'],['Gil Morales'],['Jesse Lucas'],"['Arnel Labayo', 'Lamberto Casas Jr.']","['comedy', 'drama', 'romance']","['Diether Ocampo', 'Patrick Garcia', 'Vhong Navarro', 'Onemig Bondoc', 'Dominic Ochoa', 'John Prats', 'Jodi Sta. Maria', 'Baron Geisler', 'Julia Clarete', 'Michelle Bayle', 'Assunta de Rossi', 'Mat Ranillo III', 'Jean Saburit', 'Bonggoy Manahan', 'Maribeth Bichara', 'Bentong', 'Nikki Valdez', 'Denise Joaquin', 'Perla Bautista', 'Judy Ann Santos', 'Piolo Pascual', 'Leandro Munoz', 'Gabe Mercado', 'Carlo Muñoz', 'Regine Tolentino', 'Justin Cuyugan', 'Bearwin Meily', 'Hyubs Azarcon', 'Andrea Del Rosario', 'Minnie Aguilar', 'Christian Vasquez', 'Carlo Aquino', 'Angelica Panganiban', 'Sarah Christophers', 'Janus Del Prado', 'Nicole Anderson', 'Camille Prats', 'Heart Evangelista', 'Kristopher Peralta', 'Kris Aquino', 'Farrah Florer']",nan,3.84,https://letterboxd.com//film/jologs/
Markova: Comfort Gay,2000,97,Gil Portes,nan,['Clodualdo del Mundo Jr.'],['George Jarlego'],['Johnny Araojo'],['Kay Abano'],['Joy Marfil'],"['Albert Michael Idioma', 'Ari Trofeo']","['comedy', 'drama']","['Dolphy', 'Eric Quizon', 'Jeffrey Quizon', 'Andoy Ranay', 'Freddie Quizon', 'Ronnie Quizon', 'Loren Legarda', 'Melvin Lee', 'Dexter Doria', 'Joel Lamangan', 'Nanding Josef', 'R. S. Francisco', 'Tony Bueno', 'Ricci Chan', 'Chandro Concepcion', 'Bembol Roco']",nan,3.84,https://letterboxd.com//film/markova-comfort-gay/
Jesus Is Dead,2016,120,Victor Villanueva,"['Moira Lang', 'Bianca Balbuena']","['Moira Lang', 'Fatrick Tabada']",['JD Domingo'],['Ruel Dahis Antipuesto'],['Aped Santos'],['Francis de Veyra'],"['Mark Laccay', 'Mikko Quizon']",['comedy'],"['Jaclyn Jose', 'Mailes Kanapi', 'Chai Fonacier', 'Sheenly Gener', 'Olive Nieto', 'Melde Montañez', 'Vincent Viado']",nan,3.83,https://letterboxd.com//film/jesus-is-dead/
Mariquina,2014,120,Milo Sogueco,['Gay Ace Domingo'],"['Jerrold Tarog', 'Henry Burgos', 'Gay Ace Domingo']",['Benjamin Gonzales Tolentino'],['Sasha Palomares'],['Aped Santos'],nan,nan,['drama'],"['Mylene Dizon', 'Ricky Davao', 'Barbie Forteza', 'Che Ramos', 'Bing Pimentel', 'Mel Kimura', 'Sandro Abraham', 'Raymond Cinco', 'Kenneth Paul Cruz', 'Jef-Henson Dee', 'Imelda Marcos', 'Marrion', 'Zarah Pagay', 'Red Rono']",nan,3.82,https://letterboxd.com//film/mariquina/
Moments in a Stolen Dream,1977,112,Mike de Leon,nan,"['Mike de Leon', 'Rey Santayana']",['Ike Jarlego Jr.'],"['Mike de Leon', 'Francis Escaler']",['Mel Chionglo'],['Jun Latonio'],"['Ramon Reyes', 'Luis S. Reyes']","['drama', 'romance']","['Christopher de Leon', 'Hilda Koronel', 'Laurice Guillen', 'Moody Diaz', 'Danny Javier', 'Boboy Garovillo', 'Bibeth Orteza', 'Briccio Santos', 'Oya de Leon']",nan,3.82,https://letterboxd.com//film/moments-in-a-stolen-dream/
Hinugot sa Langit,1985,121,Ishmael Bernal,nan,['Amado Lacuesta'],['Jess Navarro'],['Rody Lacap'],['Elmer Manapul'],['Willy Cruz'],"['Rudy Baldovino', 'Tony Gosalvez']",['drama'],"['Maricel Soriano', 'Charito Solis', 'Dante Rivero', 'Al Tantay', 'Rowell Santiago', 'Ronald Bregendahl', 'Gammy Viray', 'Amy Austria', 'Ray Ventura']",nan,3.83,https://letterboxd.com//film/hinugot-sa-langit/
"Kalel, 15",2019,104,Jun Robles Lana,"['Ferdinand Lapuz', 'Percival M. Intalan', 'Vitto P. Lazatin', 'Sienna Olaso', 'Guido R. Zaballero']",['Jun Robles Lana'],['Benjamin Gonzales Tolentino'],['Carlo Mendoza'],['Marxie Maolen Fadul'],['Teresa Barrozo'],"['Albert Michael Idioma', 'Lamberto Casas Jr.', 'Aian Louie Caro']",['drama'],"['Elijah Canlas', 'Jaclyn Jose', 'Eddie Garcia', 'Gabby Padilla', 'Cedrick Juan', 'Elora Españo', 'Sue Prado', 'Kych Minemoto', 'Dylan Ray Talon', 'Timothy Castillo', 'Akira Morishita', 'Giovanni Baldisseri', 'Mel Martinez', 'Luis Ruiz', 'Ruby Ruiz', 'Gilleth Sandico', 'Angie Castrence', 'Malou Crisologo', 'Nikko Hubalde', 'Patrick Victorino', 'Kim Harvey Villegas', 'Roy Requejo', 'Dacky Dacanay', 'Rosario Atun', 'Dwein Baltazar', 'Manel Sevidal', 'Dominic Lim', 'Anne Merlyn Vindio']",nan,3.82,https://letterboxd.com//film/kalel-15/
The Leaving,2018,105,Carl Joseph E. Papa,nan,['Carl Joseph E. Papa'],['Carl Joseph E. Papa'],nan,['Eru Petrasanta'],['Teresa Barrozo'],['Jess Carlos'],"['music', 'animation']","['Eula Valdez', 'Ian Veneracion', 'Khalil Ramos', 'Jun Jun Quintana']",nan,3.81,https://letterboxd.com//film/the-leaving-2018/
Changing Partners,2017,92,Dan Villegas,"['Dan Villegas', 'Antoinette Jadaone']","['Lilit Reyes', 'Vincent de Jesus']",nan,['Mycko David'],['Shari Marie Montiague'],['Vincent de Jesus'],"['Mikko Quizon', 'Jason Conanan', 'Kat Salinas']","['romance', 'music']","['Agot Isidro', 'Jojit Lorenzo', 'Sandino Martin', 'Anna Luna', 'Nicco Manalo']",nan,3.81,https://letterboxd.com//film/changing-partners/
